镜子 玻璃
玉米 小米
反射 折射
穿衣 试衣
梦境 幻想
屌丝 宅男
推销 销售
妩媚 百媚
盒饭 外卖
叉烧包 灌汤包
散热器 电风扇
伐木工 木匠工
点烟器 打火机
榨菜丝 萝卜头
老朋友 老男孩
干洗机 甩干机
麻雀 乌鸦
胖子 肥肉
眉毛 胡须
状元 冠军
饺子 包子
端午节 中秋节
摩托车 电动车
高跟鞋 增高鞋
汉堡包 肉夹馍
小矮人 葫芦娃
蜘蛛侠 蜘蛛精
节节高升 票房大卖
反弹琵琶 乱弹棉花
玫瑰 月季
牛奶 豆浆
保安 保镖
白菜 生菜
辣椒 芥末
金庸 古龙
海豚 海狮
水盆 水桶
唇膏 口红
烤肉 涮肉
气泡 水泡
纸巾 手帕
杭州 苏州
香港 台湾
首尔 东京
橙子 橘子
葡萄 提子
太监 人妖
蝴蝶 蜜蜂
小品 话剧
裸婚 闪婚
新年 跨年
吉他 琵琶
公交 地铁
剩女 御姐
童话 神话
作家 编剧
警察 捕快
结婚 订婚
奖牌 金牌
面包 蛋糕
作文 论文
油条 麻花
壁纸 贴画
枕头 抱枕
手机 座机
同学 同桌
婚纱 喜服
老佛爷 老天爷
魔术师 魔法师
鸭舌帽 遮阳帽
双胞胎 龙凤胎
情人节 光棍节
丑小鸭 灰姑娘
富二代 高富帅
生活费 零花钱
麦克风 扩音器
图书馆 图书店
男朋友 前男友
洗衣粉 皂角粉
牛肉干 猪肉脯
泡泡糖 棒棒糖
土豆粉 酸辣粉
蜘蛛侠 蝙蝠侠
口香糖 木糖醇
酸菜鱼 水煮鱼
小笼包 灌汤包
薰衣草 满天星
包青天 狄仁杰
大白兔 金丝猴
果粒橙 鲜橙多
洗发露 护发素
自行车 电动车
班主任 辅导员
过山车 碰碰车
铁观音 碧螺春
十面埋伏 四面楚歌
福尔摩斯 工藤新一
贵妃醉酒 黛玉葬花
勇往直前 全力以赴
鱼香肉丝 四喜丸子
麻婆豆腐 皮蛋豆腐
语无伦次 词不达意
鼠目寸光 井底之蛙
近视眼镜 隐形眼镜
美人心计 倾世皇妃
降龙十八掌 九阴白骨爪
红烧牛肉面 香辣牛肉面
江南style 最炫民族风
梁山伯与祝英台 罗密欧与朱丽叶
菠萝蜜 榴莲
